originalPassword,symbolStart,chunks,characters,unsentenceLikeCaps,mixedCharacterString,pronounceable,lpd,entropy,permutedPassword,newentropy,lostEntropy,percentEntropyLoss,newsymbolStart,newchunks,newcharacters,newunsentenceLikeCaps,newmixedCharacterString,newpronounceable,newlpd,ipadkeystrokes,newipadkeystrokes,androidkeystrokes,newandroidkeystrokes,passwordlength,numLetters,numNumbers,numSymbols
oi{5nAv,0,0,1,1,0,-1,1,52.4367108134211,Aoinv5{,42.72246529575498,9.714245517666123,18.525657629882797,0,0,2,0,0,-1,1,14,11,14,11,8,5,1,2
o01'GK@,0,1,1,1,0,0,3,52.4367108134211,GKo01'@,41.72246529575498,10.714245517666123,20.432718512397287,0,1,2,1,0,-1,3,15,12,15,12,8,3,2,3
n8\uXK3,0,0,1,1,0,-1,1,52.4367108134211,XKnu83\,41.137502795033825,11.29920801838728,21.54827761526046,0,0,2,1,0,-1,2,15,12,15,12,8,4,2,2
n5[7weF,0,0,1,1,0,-1,1,52.4367108134211,Fnwe57[,41.72246529575498,10.714245517666123,20.432718512397287,0,0,2,0,0,-1,1,14,11,14,11,8,4,2,2
l2|1Pm7,0,0,1,0,1,0,2,52.4367108134211,Plm217|,41.72246529575498,10.714245517666123,20.432718512397287,0,0,2,0,0,0,2,14,11,14,11,8,3,3,2
i~c7+vW,0,1,0,1,0,0,2,52.4367108134211,Wicv7~+,42.307427796476134,10.129283016944967,19.317159409534117,0,1,2,0,0,-1,2,17,11,17,11,8,4,1,3
fv0:=RL,0,1,1,1,0,0,3,52.4367108134211,RLfv0:=,41.72246529575498,10.714245517666123,20.432718512397287,0,1,2,1,0,0,4,15,12,15,12,8,4,1,3
fm0j>3T,0,0,1,0,1,0,2,52.4367108134211,Tfmj03>,41.72246529575498,10.714245517666123,20.432718512397287,0,0,2,0,0,0,2,17,11,17,11,8,4,2,2
e5;m>4V,0,1,0,0,0,0,1,52.4367108134211,Vem54;>,41.72246529575498,10.714245517666123,20.432718512397287,0,1,2,0,0,-1,2,17,11,17,11,8,3,2,3
c<7[FYX,0,1,0,1,0,-1,1,52.4367108134211,FYXc7<[,42.307427796476134,10.129283016944967,19.317159409534117,0,1,2,1,0,-1,3,16,13,16,13,8,4,1,3
b08'_Pl,0,1,1,0,0,0,2,52.4367108134211,Pbl08'_,41.72246529575498,10.714245517666123,20.432718512397287,0,1,2,0,0,0,3,14,11,14,11,8,3,2,3
