originalPassword,symbolStart,chunks,characters,unsentenceLikeCaps,mixedCharacterString,pronounceable,lpd,entropy,permutedPassword,newentropy,newsymbolStart,newchunks,newcharacters,newunsentenceLikeCaps,newmixedCharacterString,newpronounceable,newlpd,ipadkeystrokes,newipadkeystrokes,androidkeystrokes,newandroidkeystrokes,passwordlength,numLetters,numNumbers,numSymbols
2fKIl1,0,0,0,0,1,0,1,9.299208018387276,KIfl21,-9.299208018387276,0,0,0,0,-1,0,-1,3,-3,3,-3,7,4,2,1
1v]0JL,0,0,-2,0,0,0,-2,9.299208018387276,JLv10],-9.299208018387276,0,0,2,0,0,0,2,6,-6,6,-6,7,3,2,2
1q!+In,0,0,-1,0,0,-1,-2,8.714245517666122,Iqn1!+,-8.714245517666122,0,0,1,0,0,1,2,6,-6,6,-6,7,3,1,3
0o|0cV,0,0,-2,1,0,1,0,9.299208018387276,Voc00|,-9.299208018387276,0,0,2,-1,0,-1,0,6,-6,6,-6,7,3,2,2
=66c&Q,1,-1,0,0,0,0,0,8.714245517666122,Qc66=&,-8.714245517666122,-1,1,0,0,0,0,0,6,-6,6,-6,7,2,2,3
<bu1'W,1,-1,0,0,0,0,0,8.714245517666122,Wbu1<',-8.714245517666122,-1,1,0,0,0,0,0,6,-6,6,-6,7,3,1,3
+u4Aj^,1,-1,0,0,1,0,1,8.714245517666122,Auj4+^,-8.714245517666122,-1,1,0,0,-1,0,-1,6,-6,6,-6,7,3,1,3
/t0[2B,1,-1,-1,0,0,0,-1,8.714245517666122,Bt02/[,-8.714245517666122,-1,1,1,0,0,0,1,6,-6,6,-6,7,2,2,3
)7f0(O,1,-1,0,0,1,1,2,8.714245517666122,Of70)(,-8.714245517666122,-1,1,0,0,-1,-1,-2,6,-6,6,-6,7,2,2,3
%6iCR5,1,0,-1,0,1,1,2,9.299208018387276,CRi65%,-9.299208018387276,-1,0,1,0,-1,-1,-2,3,-3,3,-3,7,3,2,2
!g3Fy\,1,-1,0,0,1,0,1,8.714245517666122,Fgy3!\,-8.714245517666122,-1,1,0,0,-1,0,-1,6,-6,6,-6,7,3,1,3
y7]Nw&v,0,0,-2,0,0,1,-1,10.129283016944967,Nywv7]&,-10.129283016944967,0,0,2,0,0,-1,1,6,-6,6,-6,8,4,1,3
y;7)12I,0,0,-2,0,0,1,-1,10.129283016944967,Iy712;),-10.129283016944967,0,0,2,0,0,-1,1,3,-3,3,-3,8,2,3,3
v3/Sj[j,0,0,-2,0,0,0,-2,10.129283016944967,Svjj3/[,-10.129283016944967,0,0,2,0,0,0,2,6,-6,6,-6,8,4,1,3
v0/kR]F,0,0,-2,0,0,0,-2,10.714245517666122,RFvk0/],-10.714245517666122,0,0,2,0,0,0,2,6,-6,6,-6,8,4,1,3
u7c73?I,0,0,0,0,1,0,1,10.714245517666122,Iuc773?,-10.714245517666122,0,0,0,0,-1,0,-1,6,-6,6,-6,8,3,3,2
tum7)Pu,0,0,-1,0,0,-1,-2,9.714245517666122,Ptumu7),-9.714245517666122,0,0,1,0,0,1,2,3,-3,3,-3,8,5,1,2
t1'UpfH,0,0,-1,0,0,-1,-2,10.714245517666122,UHtpf1',-10.714245517666122,0,0,1,0,0,1,2,3,-3,3,-3,8,5,1,2
s6g[(N2,0,0,-1,0,1,0,0,10.714245517666122,Nsg62[(,-10.714245517666122,0,0,1,0,-1,0,0,6,-6,6,-6,8,3,2,3
"r5,0&oC",0,0,-2,1,0,1,0,10.714245517666122,"Cro50,&",-10.714245517666122,0,0,2,-1,0,-1,0,3,-3,3,-3,8,3,2,3
"q,o4WX^",0,0,-1,0,1,0,0,10.714245517666122,"WXqo4,^",-10.714245517666122,0,0,1,0,-1,0,0,6,-6,6,-6,8,4,1,3
oi{5nAv,0,0,-1,1,0,0,0,9.714245517666122,Aoinv5{,-9.714245517666122,0,0,1,-1,0,0,0,3,-3,3,-3,8,5,1,2
o01'GK@,0,0,-1,0,0,1,0,10.714245517666122,GKo01'@,-10.714245517666122,0,0,1,0,0,-1,0,3,-3,3,-3,8,3,2,3
n8\uXK3,0,0,-1,0,0,0,-1,11.299208018387276,XKnu83\,-11.299208018387276,0,0,1,0,0,0,1,3,-3,3,-3,8,4,2,2
n5[7weF,0,0,-1,1,0,0,0,10.714245517666122,Fnwe57[,-10.714245517666122,0,0,1,-1,0,0,0,3,-3,3,-3,8,4,2,2
l2|1Pm7,0,0,-1,0,1,0,0,10.714245517666122,Plm217|,-10.714245517666122,0,0,1,0,-1,0,0,3,-3,3,-3,8,3,3,2
i~c7+vW,0,0,-2,1,0,1,0,10.129283016944967,Wicv7~+,-10.129283016944967,0,0,2,-1,0,-1,0,6,-6,6,-6,8,4,1,3
fv0:=RL,0,0,-1,0,0,0,-1,10.714245517666122,RLfv0:=,-10.714245517666122,0,0,1,0,0,0,1,3,-3,3,-3,8,4,1,3
fm0j>3T,0,0,-1,0,1,0,0,10.714245517666122,Tfmj03>,-10.714245517666122,0,0,1,0,-1,0,0,6,-6,6,-6,8,4,2,2
e5;m>4V,0,0,-2,0,0,1,-1,10.714245517666122,Vem54;>,-10.714245517666122,0,0,2,0,0,-1,1,6,-6,6,-6,8,3,2,3
c<7[FYX,0,0,-2,0,0,0,-2,10.129283016944967,FYXc7<[,-10.129283016944967,0,0,2,0,0,0,2,3,-3,3,-3,8,4,1,3
b08'_Pl,0,0,-1,0,0,0,-1,10.714245517666122,Pbl08'_,-10.714245517666122,0,0,1,0,0,0,1,3,-3,3,-3,8,3,2,3
